Title,Author,Date,Review,Rating
bravo,Rage-4,9 August 1998,"Firstly and foremostly, I am a guy, which (in most cases) means I did not go see Titanic to see DiCaprio...although I think he can be a great actor.  Reading through earlier comments, i grew a bit weary of hearing about lame script and shallow characters.  I went to see a ship sink...the plot and the characters were, at least to me, a kind of icing on the Cake.  I actually think a lot of the characters were done well; that is, by the time they die in freezing water, you actually felt a tinge of sadness for them.  But , by the time Titanic was over, I was sufficiently moved to make me tell people that it was a great movie.  Kate Winslet was good, Kathy Bates was perfect, Leo was ok (I'll give you people that - I've seen him shine like I know he can ... Basketball Diaries, Romeo & Juliet).  But ultimately, the Titanic sinks...and it was absolutely stunning.  Bravo to Cameron.  He didn't just show us a large ship sinking, he showed us the back half of it crashing down on a hundred freezing, drowning people; he showed us a third class mother attempting to sing her children to sleep because she knew they were all doomed (broke my heart - i cried the most right there at that point), he showed people who worked extremely hard to get OUT of the bowels of the ship only to be sucked back in when a random window shattered and the water carried them on back in...detail.  I like detail in a movie.  Very impressive job.",No Rating
Amazing,baybee,3 June 2002,"I saw this movie opening day and it took my breath away. James Cameron's fictional story of Jack and Rose entwined with real life occurances was haunting and absolutely beautiful. He is an amazing director and writer that this movie would not have worked without him.Kate Winslet was stunning as Rose and this movie belonged to her as you couldn't imagine anyone else playing this role.Leonardo DiCaprio was really good as Jack and  he should have had an  an Oscar nomination for this role and the ever brilliant Billy Zane didn't disappoint in his role as Rose's fiance Cal. His portrayl of Cal was so evil that despite being an awful person, you couldn't help but feel sorry for him, especially when despite all his doings he loved Rose so much.
James Horner's music was just as haunting and he always lifts the movie he works on to the ultimate level.Kathy Bates was equally impressive in a small role and provided quite a few of the laughs of the film. Everything from the special effects, to the sets to the costumes were pure magic.This would have to be one of the most wonderful films of the 20th Century and one that will never be forgotten.",No Rating
Why low score?,sucoaramada,31 July 2020,People are crazy. They rate Avengers so high and they rate this masterpiece low? This is beyond absurd. You guys should encourage great filmmakers like this one not stupid ones like the super hero franchises. For the love of god.,10/10
"This is one of the greatest films of all time, and I will fight you on this fact.",madelynmcfly-20274,12 February 2023,"This is one of the greatest films of all time, and I will fight you on this fact. This is such a beautiful film, and has one of the greatest love stories I've ever seen brought to screen. It's an iconic film, so I don't know if I can bring anything new to the table. But still... I must say that these are some of the best characters ever. Rose is such a wonderful character, and I love the arc she experiences over the film. Jack is a charming love interest, and Cal is such a dynamic character, and is a fine villain. So many of the characters are played to perfection. The sinking in this film is one of the best technical feats in cinema, and I feel every emotion I can in this film. The cinematography is gorgeous, and the costumes are also glorious. The music is also wonderful, and the song 'My Heart Will Go On' is simply iconic! This is a film that is so cinematic and wonderful. Also, I got to see this on the big screen for the re-release, and it was absolutely amazing, and the way the film was meant to be experienced. It's one of the best cinematic experiences, and I love it.",10/10
"The general consensus rating on here should certainly not be as low as 7.9 for a classic, masterpiece, historical period piece romance drama film",ambusched94,13 February 2022,"My favorite film of all time. The best romance film ever made. The greatest love story ever told. When I was 12 years old, I watched Titanic for the first time and I felt so moved after this resonating cinematic experience. Everything about this film is timeless. From the mesmerizing lead performances, set design, costumes, cinematography, editing, music, and themes of love, loss, sacrifice, and social class politics of the early 20th century... this film will always have a special place in my heart. A notable mention is I consider Leonardo DiCaprio and Kate Winslet to be one of the best film couples of all time, and their undeniably beautiful, captivating, natural chemistry is unmatched.Titanic is an iconic, classic film that I recommend for old, current, and future generations of film watchers.",10/10
Powerful Storytelling,mermatt,29 July 1998,"While some viewers were disappointed that this wasn't just another A NIGHT TO REMEMBER, I believe that the use of the fictional characters was an effective story-telling device. We are brought into the story through Jack and Rose with the historical characters and events as a backdrop. The same device is used in such great films as GONE WITH THE WIND, THE CHARGE OF THE LIGHT BRIGADE, and THEY DIED WITH THEIR BOOTS ON. History is thus brought to life without being ponderous.",No Rating
Amazing masterpiece,chera_khalid,28 September 2023,"""Titanic"" sweeps you off your feet with its breathtaking grandeur and emotional depth, earning every bit of your 8/10 rating and love. Leonardo DiCaprio and Kate Winslet's mesmerizing performances breathe life into the ill-fated lovers, making their tragic tale utterly compelling. The film's meticulous editing ensures a seamless transition between timelines, keeping the audience engrossed in both past and present. James Horner's iconic score amplifies the emotional resonance, making every heartache and triumph feel profoundly moving. Director James Cameron's underlying message of love prevailing in the face of adversity is masterfully conveyed, and the film's cinematography captures the ship's opulence and ultimate demise with unparalleled artistry. ""Titanic"" remains an epic cinematic achievement that continues to touch the hearts of audiences worldwide.",8/10
"A very good film, amazingly underrated on IMDb",ahmxii,29 January 2022,"It's sometimes difficult to assess a movie that was such a phenomenon in its day. Titanic was a gigantic hit upon release, talked about everywhere, unavoidable. In parallel to its massive popularity, there was also a backlash of people denouncing it as clichéd and overly sentimental, a lot of whom were probably deliberately disliking it because of its ubiquity. Now, it's of that awkward age where it's too recent to merit classic status but too distant to still really be talked about much. As such its standing in posterity seems to be undecided, as yet.Historical romantic epics like this have long been around, and have long done well at box offices and awards ceremonies. And yes, they may be formulaic, but there is a certain craft in ticking all the boxes. Titanic works by bringing us in, with those opening scenes, with the position of a clinical observer of the wreck, as we might have seen it in books or documentaries. The framing narrative has a modern familiarity that we can relate to. We are then gradually eased back into the past, and the story of the ship and those who sailed aboard her become humanized. And I'm not just referring to the central love story. In writing his screenplay, James Cameron goes to lengths to pick hundreds of tiny strands, from the real fates of historical personages to brief flashes of unnamed figures. This broad, human retelling of a great disaster gives Titanic a wonderful richness, not to mention a deeper poignancy.Cameron was at this point best-known for his blockbusting actioners like Aliens and the Terminator movies, so as a director he might have seemed out of his depth on Titanic. But Cameron was always a professional, never a show-off, and he could handle weighty subjects with maturity. He doesn't faff about with the camera, usually keeping it still while all the movement is within the frame. And of course, when the movie turns more action-orientated during the ship's sinking, his experience puts him in good stead. The collision with the iceberg is so suspenseful that, every time I see it, I still hope the ship will turn in time. Throughout the movie, there are a lot of point-of-view shots, more than most filmmakers dare to use these days, but the idea is to bring us close to the sensation of being there. But perhaps Cameron's greatest strength is his finding of an apt image to tell a story in an instant, from a man with his family frantically thumbing through a translation book to find his way off the ship, to Ismay's guilty face against the side of the ship as he is lowered down.The studio took a gamble in allowing Cameron to cast two lead players who were as young and inexperienced as Winslet and DiCaprio, but it paid off. Winslet is not a traditional beauty, but she has a vivacious personality that makes her attractive and instantly likable. At first glance, DiCaprio seems to have been hired for his looks, but he proves to have a deep sincerity, such as when he confronts Winslet and confesses his feelings towards her. And after all, it's moments like this where performance counts the most. But what makes these two work is their believable youthfulness and that eager rapport between them. Passionate love stories that take place over a day or two can easily seem a bit false, but Winslet and DiCaprio seem so great together the briefness of their affair are irrelevant.This diamond of a movie is not, I'll admit, without a few flaws. Despite the brilliant construction of the screenplay, the dialogue is woefully trite. The special effects are typically over-ambitious '90s CGI, with texture-less surfaces and too many fake people (although to be fair it still looks better than, say, a scale-model would). But whereas these problems would stick out like sore thumbs in a lesser picture, Titanic has such a grand sweep and emotional power that they become insignificant. I hope cinematic history will judge Titanic well because regardless of hype and counter-hype, it is everything a movie should be.",9/10
"Despite some glaring faults,Cameron's mixing of romance with real life disaster is still impressive and occasionally brilliant",DrLenera,28 November 2005,"It's really quite odd. When Titanic first came out,the reviews were mixed but the public generally loved it,those who disliked the film were definitely in the minority. Over the years,it has became somewhat fashionable to slag Titanic off,even if a great many of those people who did so were probably amongst those who made it such an enormous hit in the cinemas. Titanic is flawed,definitely,sometimes greatly so. However,it's also a tremendous achievement for it's director James Cameron. Mixing a real disaster with romance is harder to do than some might think. Maybe he did have a right to say ""I'm king of the world"" when the film won Best Picture at the Oscars. Just once.The modern day opening is excellent,making effective use of some of Cameron's real footage he took of the sunken Titanic. There is a real sense of mystery. Than we flash back to the Titanic being boarded,and the film stalls just a little for around two hours. The attention to detail is amazing {even all the cutlery matched,you know} and there is nothing wrong with an extremely slow build up to action-think of The Seven Samourai. However,the central romance between Leo and Kate is often badly written and unconvincing. For a start Kate's Rose would certainly not have done two things she does in the film as quickly as she did {Obviously thousands of teenage girls seeing the film in 1997 would disagree with my views}. We also have to suffer Cameron constantly labouring the point that the poor people on the ship are better than the rich people.However,the final 80 or so minutes,detailing the sinking,is simply brilliant film making. The suspense is built expertly,even though we know what will happen,and climaxes with some technical shots which are still impressive. Perhaps there is a little two much emphasis on the central couple,but there are some truly moving moments,and it really feels true,although of course Cameron did play with the facts a little here and there,as at least one descendant of one of the survivors has pointed out. The following sequence involving the boats is extremely haunting,with some especially good use of sound. As for the final scene,it does manage to be pretty moving,it's schmaltzy but it works {though hardly original,think of Somewhere In Time and various 40s romantic fantasies}.Titanic has some excellent use of CGI {watch out for the transitions from present to the past on the sunken ship} and one glaringly bad special effect-the iceberg which looks like polystyrene. James Horner's best selling score is really quite poor and only occasionally brings the emotion it should do. Performances are generally excellent and sometimes succeed in overcoming some thin characterisation {such as Billy Zane as Rose's fiancée,who even has to suffer with far too much eye make up!}Overall Titanic is still worth seeing,and sometimes it really does hit the heights that it should. It succeeds more than it fails,which is impressive in a film as ambitious as this.",No Rating
Possibly the most disrespected film of all time.,sam_l_kay,26 June 2023,"This film is an absolute masterpiece, yet whenever it's discussed people often dismiss it or rarely praise it.There is so much more to this film beyond the romance and the iceberg, it's a time capsule. You can tell how much care and attention to detail went into it, the sets and costumes are incredible, the political/class subtext is very well crafted. There are so many characters involved and each have their moments where they shine, motivations and decisions make sense, nobody turns in a poor performance.The pacing of this film is brilliant considering it's length. The numerous story beats and set pieces all build up towards a final act that's up there with the best cinema has ever offered.It's one of those films that deserves a rewatch every so often; if ever you hear someone dismiss it you must implore them to give it another go. It has aged very well and deserves more credit, which is crazy considering it won ELEVEN Oscars, all of which were fully earned.",10/10
